video_path,caption
../datasets/real_generalization\real_000.mp4,A neuron in a black background.
../datasets/real_generalization\real_001.mp4,A video game title screen with the words waro blast.
../datasets/real_generalization\real_002.mp4,A wall with a screen that shows the names of phones and tablets.
../datasets/real_generalization\real_003.mp4,"A black plate with sausage, eggs, and cheese."
../datasets/real_generalization\real_004.mp4,A poster with a picture of soldiers in uniform during the war.
../datasets/real_generalization\real_005.mp4,A person is pointing to a box under a table.
../datasets/real_generalization\real_006.mp4,The player is in a futuristic cyberpunk-themed first-person shooter game.
../datasets/real_generalization\real_007.mp4,A plate of food and a bowl of salad on a table.
../datasets/real_generalization\real_008.mp4,A man standing next to a large pot with steam coming out of it.
../datasets/real_generalization\real_009.mp4,A person holding a small toy army on the floor.
../datasets/real_generalization\real_010.mp4,A drawing of an electronic device with parts labeled.
../datasets/real_generalization\real_011.mp4,It is a map of the united states with a red pinpoint on the state of vermont.
../datasets/real_generalization\real_012.mp4,Two nba players standing next to each other.
../datasets/real_generalization\real_013.mp4,A statue of a knight standing in front of a wall.
../datasets/real_generalization\real_014.mp4,A man in a blue jacket is talking on a microphone in front of a sign.
../datasets/real_generalization\real_015.mp4,An instagram account with a picture of a green man.
../datasets/real_generalization\real_016.mp4,A woman is sitting for a portrait in an old black and white photo.
../datasets/real_generalization\real_017.mp4,There is a man wearing a white t-shirt and glasses standing in front of a blue background.
../datasets/real_generalization\real_018.mp4,A woman is arranging flowers in a vase and another woman is talking to her.
../datasets/real_generalization\real_019.mp4,The taxi driver is smiling and waving to the camera while sitting in his car.
../datasets/real_generalization\real_020.mp4,A man in a suit is talking to the camera in an office.
../datasets/real_generalization\real_021.mp4,A black and white dog is laying on a bed with a blanket on the floor and a ball under his paw.
../datasets/real_generalization\real_022.mp4,A man and a woman are standing in a kitchen and talking to each other.
../datasets/real_generalization\real_023.mp4,A person is using the apple music app on an iphone.
../datasets/real_generalization\real_024.mp4,A woman in an orange apron is smiling.
../datasets/real_generalization\real_025.mp4,A soccer game is being played on a stadium and the players are running on the field.
../datasets/real_generalization\real_026.mp4,A news tv screen with a woman on it.
../datasets/real_generalization\real_027.mp4,A group of basketball players and coaches are giving a press conference.
../datasets/real_generalization\real_028.mp4,A man in a black suit and tie is singing into a microphone at a party.
../datasets/real_generalization\real_029.mp4,A man in a black shirt standing in front of a kitchen counter.
../datasets/real_generalization\real_030.mp4,"The man is sitting at a desk with a whiteboard behind him, he is wearing glasses and has a striped shirt on."
../datasets/real_generalization\real_031.mp4,The person is cutting a piece of fabric on a rotating cutting mat.
../datasets/real_generalization\real_032.mp4,"A man and a woman are preparing a dish in a kitchen, they are adding seasoning to a broth and making sure the heat is low."
../datasets/real_generalization\real_033.mp4,A woman is talking to a man in front of a fireplace.
../datasets/real_generalization\real_034.mp4,A person is wrapping a piece of paper around a pillow.
../datasets/real_generalization\real_035.mp4,There is a person standing on a staircase in a narrow canyon with walls made of stone.
../datasets/real_generalization\real_036.mp4,There are people walking on a street and some of them are carrying shopping bags.
../datasets/real_generalization\real_037.mp4,"The person is standing on a stage, wearing a black leather jacket and speaking into a microphone."
../datasets/real_generalization\real_038.mp4,A woman wearing a black jacket is standing in front of a wall of televisions.
../datasets/real_generalization\real_039.mp4,A man and a woman are sitting down on the news.
../datasets/real_generalization\real_040.mp4,There are two glasses of chocolate pudding with whipped cream on a table.
../datasets/real_generalization\real_041.mp4,A deer is hiding in the woods among trees covered in snow.
../datasets/real_generalization\real_042.mp4,A close up of a sign that says what is duck hut?.
../datasets/real_generalization\real_043.mp4,A man wearing glasses and a hat sitting in front of a computer screen.
../datasets/real_generalization\real_044.mp4,The person is holding a small object in their hand that appears to be made of plastic and has a round shape with a small hole on one side.
../datasets/real_generalization\real_045.mp4,A man is holding a rifle and aiming it at a target.
../datasets/real_generalization\real_046.mp4,A man is standing in a kitchen holding scissors and talking about cleaning smelt that he and his friend caught the previous night.
../datasets/real_generalization\real_047.mp4,A group of men in suits talking to each other.
../datasets/real_generalization\real_048.mp4,A person touching a metal object on a table.
../datasets/real_generalization\real_049.mp4,A man holding a camera in front of a body of water.
../datasets/real_generalization\real_050.mp4,A hand reaching for a metal shelf in a warehouse.
../datasets/real_generalization\real_051.mp4,A man is sitting at a desk in a room with a green wall. he is wearing a plaid shirt and glasses.
../datasets/real_generalization\real_052.mp4,A beekeeper's hand holding a piece of honeycomb.
../datasets/real_generalization\real_053.mp4,A bearded man in a black shirt is talking into a microphone and gesturing with his arms.
../datasets/real_generalization\real_054.mp4,The person is wearing blue crochet fingerless gloves.
../datasets/real_generalization\real_055.mp4,A basketball player in a video game.
../datasets/real_generalization\real_056.mp4,A soccer player is kicking a soccer ball on a field with a crowd of people watching.
../datasets/real_generalization\real_057.mp4,A group of young football players are hugging each other after winning a game.
../datasets/real_generalization\real_058.mp4,A sign that says lan hue in chinese on a glass door.
../datasets/real_generalization\real_059.mp4,A newscast with a woman holding a microphone and a map.
../datasets/real_generalization\real_060.mp4,Firefighters arrived at the scene of a building collapse and were trying to rescue people trapped inside.
../datasets/real_generalization\real_061.mp4,"There are two bottles of alcohol on a counter, one with a label that says ""brulio"" and the other with a label that says ""agrio""."
../datasets/real_generalization\real_062.mp4,A man is talking to the camera in front of an aquarium with white fish swimming in it.
../datasets/real_generalization\real_063.mp4,A group of young men sitting on a bench.
../datasets/real_generalization\real_064.mp4,A woman is speaking at a talk show.
../datasets/real_generalization\real_065.mp4,A close up of a black steering wheel with red stitching.
../datasets/real_generalization\real_066.mp4,A group of kids are dancing in a locker room.
../datasets/real_generalization\real_067.mp4,A book with a picture of a kitchen on it.
../datasets/real_generalization\real_068.mp4,"There is a woman sitting at a table in a restaurant, surrounded by people."
../datasets/real_generalization\real_069.mp4,A woman is driving a car and talking to the camera.
../datasets/real_generalization\real_070.mp4,A fox news broadcast with a man in a suit and tie.
../datasets/real_generalization\real_071.mp4,A piece of metal is being machined on a lathe.
../datasets/real_generalization\real_072.mp4,A woman is giving a speech at a podium.
../datasets/real_generalization\real_073.mp4,A woman is smiling and looking at the camera while wearing leggings.
../datasets/real_generalization\real_074.mp4,A man posing for a picture with another man.
../datasets/real_generalization\real_075.mp4,A person's hand reaching over a table full of food.
../datasets/real_generalization\real_076.mp4,A man in a blue shirt mixing something in a metal bowl.
../datasets/real_generalization\real_077.mp4,A person holding a grey crocheted piece of fabric.
../datasets/real_generalization\real_078.mp4,A group of people sitting on benches holding signs.
../datasets/real_generalization\real_079.mp4,A news anchor with a picture of a man and a woman on the screen.
../datasets/real_generalization\real_080.mp4,The person is wearing headphones and speaking into a microphone.
