video_path,caption
dataset/real\real_000.mp4,A neuron in a black background.
dataset/real\real_001.mp4,A video game title screen with the words waro blast.
dataset/real\real_002.mp4,A wall with a screen that shows the names of phones and tablets.
dataset/real\real_003.mp4,"A black plate with sausage, eggs, and cheese."
dataset/real\real_004.mp4,A poster with a picture of soldiers in uniform during the war.
dataset/real\real_005.mp4,A person is pointing to a box under a table.
dataset/real\real_006.mp4,The player is in a futuristic cyberpunk-themed first-person shooter game.
dataset/real\real_007.mp4,A plate of food and a bowl of salad on a table.
dataset/real\real_008.mp4,A man standing next to a large pot with steam coming out of it.
dataset/real\real_009.mp4,A person holding a small toy army on the floor.
dataset/real\real_010.mp4,A drawing of an electronic device with parts labeled.
dataset/real\real_011.mp4,It is a map of the united states with a red pinpoint on the state of vermont.
dataset/real\real_012.mp4,Two nba players standing next to each other.
dataset/real\real_013.mp4,A statue of a knight standing in front of a wall.
dataset/real\real_014.mp4,A man in a blue jacket is talking on a microphone in front of a sign.
dataset/real\real_015.mp4,An instagram account with a picture of a green man.
dataset/real\real_016.mp4,A woman is sitting for a portrait in an old black and white photo.
dataset/real\real_017.mp4,There is a man wearing a white t-shirt and glasses standing in front of a blue background.
dataset/real\real_018.mp4,A woman is arranging flowers in a vase and another woman is talking to her.
dataset/real\real_019.mp4,The taxi driver is smiling and waving to the camera while sitting in his car.
dataset/real\real_020.mp4,A man in a suit is talking to the camera in an office.
dataset/real\real_021.mp4,A black and white dog is laying on a bed with a blanket on the floor and a ball under his paw.
dataset/real\real_022.mp4,A man and a woman are standing in a kitchen and talking to each other.
dataset/real\real_023.mp4,A person is using the apple music app on an iphone.
dataset/real\real_024.mp4,A woman in an orange apron is smiling.
dataset/real\real_025.mp4,A soccer game is being played on a stadium and the players are running on the field.
dataset/real\real_026.mp4,A news tv screen with a woman on it.
dataset/real\real_027.mp4,A group of basketball players and coaches are giving a press conference.
dataset/real\real_028.mp4,A man in a black suit and tie is singing into a microphone at a party.
dataset/real\real_029.mp4,A man in a black shirt standing in front of a kitchen counter.
dataset/real\real_030.mp4,"The man is sitting at a desk with a whiteboard behind him, he is wearing glasses and has a striped shirt on."
dataset/real\real_031.mp4,The person is cutting a piece of fabric on a rotating cutting mat.
dataset/real\real_032.mp4,"A man and a woman are preparing a dish in a kitchen, they are adding seasoning to a broth and making sure the heat is low."
dataset/real\real_033.mp4,A woman is talking to a man in front of a fireplace.
dataset/real\real_034.mp4,A person is wrapping a piece of paper around a pillow.
dataset/real\real_035.mp4,There is a person standing on a staircase in a narrow canyon with walls made of stone.
dataset/real\real_036.mp4,There are people walking on a street and some of them are carrying shopping bags.
dataset/real\real_037.mp4,"The person is standing on a stage, wearing a black leather jacket and speaking into a microphone."
dataset/real\real_038.mp4,A woman wearing a black jacket is standing in front of a wall of televisions.
dataset/real\real_039.mp4,A man and a woman are sitting down on the news.
dataset/real\real_040.mp4,There are two glasses of chocolate pudding with whipped cream on a table.
dataset/real\real_041.mp4,A deer is hiding in the woods among trees covered in snow.
dataset/real\real_042.mp4,A close up of a sign that says what is duck hut?.
dataset/real\real_043.mp4,A man wearing glasses and a hat sitting in front of a computer screen.
dataset/real\real_044.mp4,The person is holding a small object in their hand that appears to be made of plastic and has a round shape with a small hole on one side.
dataset/real\real_045.mp4,A man is holding a rifle and aiming it at a target.
dataset/real\real_046.mp4,A man is standing in a kitchen holding scissors and talking about cleaning smelt that he and his friend caught the previous night.
dataset/real\real_047.mp4,A group of men in suits talking to each other.
dataset/real\real_048.mp4,A person touching a metal object on a table.
dataset/real\real_049.mp4,A man holding a camera in front of a body of water.
