video_path,caption
../datasets/real\real_000.mp4,A neuron in a black background.
../datasets/real\real_001.mp4,A close up of a man's face looking down.
../datasets/real\real_002.mp4,A video game title screen with the words waro blast.
../datasets/real\real_003.mp4,A wall with a screen that shows the names of phones and tablets.
../datasets/real\real_004.mp4,"A black plate with sausage, eggs, and cheese."
../datasets/real\real_005.mp4,A poster with a picture of soldiers in uniform during the war.
../datasets/real\real_006.mp4,A person is using an apple iphone 12 to access the phone's settings and scroll through different options.
../datasets/real\real_007.mp4,A person is pointing to a box under a table.
../datasets/real\real_008.mp4,"A woman is standing in front of a kitchen counter, holding a spray bottle filled with cleaning solution and talking to the camera."
../datasets/real\real_009.mp4,The player is in a futuristic cyberpunk-themed first-person shooter game.
../datasets/real\real_010.mp4,A plate of food and a bowl of salad on a table.
../datasets/real\real_011.mp4,A man standing next to a large pot with steam coming out of it.
../datasets/real\real_012.mp4,A person holding a small toy army on the floor.
../datasets/real\real_013.mp4,A drawing of an electronic device with parts labeled.
../datasets/real\real_014.mp4,It is a map of the united states with a red pinpoint on the state of vermont.
../datasets/real\real_015.mp4,Two nba players standing next to each other.
../datasets/real\real_016.mp4,A statue of a knight standing in front of a wall.
../datasets/real\real_017.mp4,A man in a blue jacket is talking on a microphone in front of a sign.
../datasets/real\real_018.mp4,An instagram account with a picture of a green man.
../datasets/real\real_019.mp4,A woman is sitting for a portrait in an old black and white photo.
../datasets/real\real_020.mp4,There is a man wearing a white t-shirt and glasses standing in front of a blue background.
../datasets/real\real_021.mp4,"A picture of a lemon with the words ""candied or sugared lemon"" written on it."
../datasets/real\real_022.mp4,A woman is arranging flowers in a vase and another woman is talking to her.
../datasets/real\real_023.mp4,The taxi driver is smiling and waving to the camera while sitting in his car.
../datasets/real\real_024.mp4,A man in a suit is talking to the camera in an office.
../datasets/real\real_025.mp4,A black and white dog is laying on a bed with a blanket on the floor and a ball under his paw.
../datasets/real\real_026.mp4,A man and a woman are standing in a kitchen and talking to each other.
../datasets/real\real_027.mp4,A person is using the apple music app on an iphone.
../datasets/real\real_028.mp4,A woman in an orange apron is smiling.
../datasets/real\real_029.mp4,A soccer game is being played on a stadium and the players are running on the field.
../datasets/real\real_030.mp4,A news tv screen with a woman on it.
../datasets/real\real_031.mp4,A group of basketball players and coaches are giving a press conference.
../datasets/real\real_032.mp4,A man in a black suit and tie is singing into a microphone at a party.
../datasets/real\real_033.mp4,A man in a black shirt standing in front of a kitchen counter.
../datasets/real\real_034.mp4,"The man is sitting at a desk with a whiteboard behind him, he is wearing glasses and has a striped shirt on."
../datasets/real\real_035.mp4,The person is cutting a piece of fabric on a rotating cutting mat.
../datasets/real\real_036.mp4,"A man and a woman are preparing a dish in a kitchen, they are adding seasoning to a broth and making sure the heat is low."
../datasets/real\real_037.mp4,A woman is talking to a man in front of a fireplace.
../datasets/real\real_038.mp4,A person is wrapping a piece of paper around a pillow.
../datasets/real\real_039.mp4,There is a person standing on a staircase in a narrow canyon with walls made of stone.
../datasets/real\real_040.mp4,There are people walking on a street and some of them are carrying shopping bags.
../datasets/real\real_041.mp4,"The person is standing on a stage, wearing a black leather jacket and speaking into a microphone."
../datasets/real\real_042.mp4,A woman wearing a black jacket is standing in front of a wall of televisions.
../datasets/real\real_043.mp4,A man and a woman are sitting down on the news.
../datasets/real\real_044.mp4,There are two glasses of chocolate pudding with whipped cream on a table.
../datasets/real\real_045.mp4,A deer is hiding in the woods among trees covered in snow.
../datasets/real\real_046.mp4,A close up of a sign that says what is duck hut?.
../datasets/real\real_047.mp4,A man wearing glasses and a hat sitting in front of a computer screen.
../datasets/real\real_048.mp4,The person is holding a small object in their hand that appears to be made of plastic and has a round shape with a small hole on one side.
../datasets/real\real_049.mp4,A screenshot of a video game showing a fire.
../datasets/real\real_050.mp4,A man is holding a rifle and aiming it at a target.
../datasets/real\real_051.mp4,A man is standing in a kitchen holding scissors and talking about cleaning smelt that he and his friend caught the previous night.
../datasets/real\real_052.mp4,A group of men in suits talking to each other.
../datasets/real\real_053.mp4,A person touching a metal object on a table.
../datasets/real\real_054.mp4,A man holding a camera in front of a body of water.
../datasets/real\real_055.mp4,A hand reaching for a metal shelf in a warehouse.
../datasets/real\real_056.mp4,A man is sitting at a desk in a room with a green wall. he is wearing a plaid shirt and glasses.
../datasets/real\real_057.mp4,A beekeeper's hand holding a piece of honeycomb.
../datasets/real\real_058.mp4,A bearded man in a black shirt is talking into a microphone and gesturing with his arms.
../datasets/real\real_059.mp4,The person is wearing blue crochet fingerless gloves.
../datasets/real\real_060.mp4,A basketball player in a video game.
../datasets/real\real_061.mp4,A soccer player is kicking a soccer ball on a field with a crowd of people watching.
../datasets/real\real_062.mp4,A group of young football players are hugging each other after winning a game.
../datasets/real\real_063.mp4,A sign that says lan hue in chinese on a glass door.
../datasets/real\real_064.mp4,A newscast with a woman holding a microphone and a map.
../datasets/real\real_065.mp4,Firefighters arrived at the scene of a building collapse and were trying to rescue people trapped inside.
../datasets/real\real_066.mp4,"There are two bottles of alcohol on a counter, one with a label that says ""brulio"" and the other with a label that says ""agrio""."
../datasets/real\real_067.mp4,A man is talking to the camera in front of an aquarium with white fish swimming in it.
../datasets/real\real_068.mp4,A group of young men sitting on a bench.
../datasets/real\real_069.mp4,A woman is speaking at a talk show.
../datasets/real\real_070.mp4,A close up of a black steering wheel with red stitching.
../datasets/real\real_071.mp4,A group of kids are dancing in a locker room.
../datasets/real\real_072.mp4,A book with a picture of a kitchen on it.
../datasets/real\real_073.mp4,"There is a woman sitting at a table in a restaurant, surrounded by people."
../datasets/real\real_074.mp4,A woman is driving a car and talking to the camera.
../datasets/real\real_075.mp4,A cartoon of a man with a santa hat on his head.
../datasets/real\real_076.mp4,A fox news broadcast with a man in a suit and tie.
../datasets/real\real_077.mp4,A piece of metal is being machined on a lathe.
../datasets/real\real_078.mp4,A woman is giving a speech at a podium.
../datasets/real\real_079.mp4,A woman is smiling and looking at the camera while wearing leggings.
../datasets/real\real_080.mp4,A man posing for a picture with another man.
../datasets/real\real_081.mp4,A person's hand reaching over a table full of food.
../datasets/real\real_082.mp4,A man in a blue shirt mixing something in a metal bowl.
../datasets/real\real_083.mp4,A person holding a grey crocheted piece of fabric.
../datasets/real\real_084.mp4,A group of people sitting on benches holding signs.
../datasets/real\real_085.mp4,A news anchor with a picture of a man and a woman on the screen.
../datasets/real\real_086.mp4,The person is wearing headphones and speaking into a microphone.
../datasets/real\real_087.mp4,A woman is talking to the camera on a white background.
../datasets/real\real_088.mp4,A man and a woman sitting at a news desk.
../datasets/real\real_089.mp4,"The word ""windows"" is written in white letters on a black background."
../datasets/real\real_090.mp4,A package of fishing hooks on a white background.
../datasets/real\real_091.mp4,A blue sky with the words based on a true story.
../datasets/real\real_092.mp4,A man in a suit and tie talks into a microphone in front of a building.
../datasets/real\real_093.mp4,A person is holding a flashlight in their hand and opening the package.
../datasets/real\real_094.mp4,A man and woman are on a boat in the water with other people in the background.
../datasets/real\real_095.mp4,"A white plate is topped with eggs, toast and a fork."
../datasets/real\real_096.mp4,It is a black background with text in the middle.
../datasets/real\real_097.mp4,A person wearing a blue glove is working on a car engine.
../datasets/real\real_098.mp4,A director is filming a movie using a camera and lighting equipment.
../datasets/real\real_099.mp4,A group of musicians are sitting on a couch and talking to the interviewer.
../datasets/real\real_100.mp4,A news report of a ship launch in a parking lot.
../datasets/real\real_101.mp4,"There is a group of people standing in front of a tent, and they are all wearing white shirts."
../datasets/real\real_102.mp4,A basketball game is being played in an arena with a crowd of people watching.
../datasets/real\real_103.mp4,A chef is standing in front of a kitchen and talking to the camera.
../datasets/real\real_104.mp4,The man is fishing from a boat and using a trolling motor with an i-pilot system.
../datasets/real\real_105.mp4,The person is holding a bowl of oatmeal in their hands.
../datasets/real\real_106.mp4,Person is using a white substance to create a sculpture on a wooden surface.
../datasets/real\real_107.mp4,Three people are sitting at a table and discussing something.
../datasets/real\real_108.mp4,There is a man and woman standing in front of an open door in a dark room.
../datasets/real\real_109.mp4,A pregnant woman in a bikini standing next to a pool.
../datasets/real\real_110.mp4,"It's a winter wonderland with snow on the ground, and there are cars parked on the side of the road."
../datasets/real\real_111.mp4,A woman is putting nail polish bottles into a drawer with dividers.
../datasets/real\real_112.mp4,A person's hand is pointing a finger at a tree in a backyard of a house with grass and a fence.
../datasets/real\real_113.mp4,A woman is being searched by security personnel in a shopping mall.
../datasets/real\real_114.mp4,There is a cocktail glass sitting on top of a wooden table with a view of a city skyline in the background.
../datasets/real\real_115.mp4,A close up of the wheel of a red sports car.
../datasets/real\real_116.mp4,A man in a blue polo shirt is on a tv screen.
../datasets/real\real_117.mp4,A black background with a logo on it.
../datasets/real\real_118.mp4,A man in a white shirt working on a ceiling.
../datasets/real\real_119.mp4,A man in a blue t-shirt is standing in front of shelves filled with plastic containers and he is talking to the camera.
../datasets/real\real_120.mp4,A sign on a wall with a lotus flower on it.
../datasets/real\real_121.mp4,There is a plastic bowl filled with a mixture of dirt and worms on a table.
../datasets/real\real_122.mp4,An illustration of a person pointing to the top of a person's head.
../datasets/real\real_123.mp4,"The speaker is sitting in front of a microphone, wearing a brown suit and a blue tie."
../datasets/real\real_124.mp4,There is a group of soccer players posing for a photo in a locker room.
../datasets/real\real_125.mp4,A cartoon showing a man carrying a large piece of cheese.
../datasets/real\real_126.mp4,A man in a green shirt holding a large sword.
../datasets/real\real_127.mp4,An image of a face with a helmet on it.
../datasets/real\real_128.mp4,A man is sitting in front of a red background and talking to the camera.
../datasets/real\real_129.mp4,"The woman is wearing a red sweater and a straw hat, standing in front of a brick wall with her arms outstretched."
../datasets/real\real_130.mp4,A man is standing next to a black motorcycle in a parking lot.
../datasets/real\real_131.mp4,A female swimmer wearing a helmet and goggles.
../datasets/real\real_132.mp4,A man wearing a suit and tie is talking.
../datasets/real\real_133.mp4,A man pushing a red lawn mower in front of a house.
../datasets/real\real_134.mp4,A woman is cooking food in a frying pan on a stove.
../datasets/real\real_135.mp4,Two pictures showing the difference between two different versions of the same part.
../datasets/real\real_136.mp4,It is a glass bowl filled with various nail polish bottles.
../datasets/real\real_137.mp4,A woman is shouting and pointing at something in front of her while other people are standing around her.
../datasets/real\real_138.mp4,A person sitting at a desk with a crown in front of it.
../datasets/real\real_139.mp4,A cartoon drawing of a person standing in a room.
../datasets/real\real_140.mp4,A woman in black and yellow is talking on a television screen.
